"#""+ BPC Scan stir_75um_sp-r002.d """,,
#Point,X(Minutes),Y(Counts)
687,11.48,1138
688,11.496,836
689,11.513,857
690,11.53,638
691,11.546,667
692,11.563,1136
693,11.58,1309
694,11.596,954
695,11.613,828
696,11.629,785
697,11.646,778
698,11.663,657
699,11.679,748
700,11.696,945
701,11.713,1162
702,11.729,601
703,11.746,860
704,11.762,1022
705,11.779,1023
706,11.796,857
707,11.812,804
708,11.829,736
709,11.846,709
710,11.862,1604
711,11.879,889
712,11.896,879
713,11.912,916
714,11.929,1379
715,11.945,921
716,11.962,1187
717,11.979,1333
718,11.995,1178
719,12.012,820
720,12.029,951
721,12.045,1551
722,12.062,1339
723,12.079,1080
724,12.095,898
725,12.112,1550
726,12.128,1049
727,12.145,1255
728,12.162,1164
729,12.178,1385
730,12.195,1188
731,12.212,1059
732,12.228,1217
733,12.245,1019
734,12.261,1317
735,12.278,1328
736,12.295,1076
737,12.311,1088
738,12.328,944
739,12.345,1669
740,12.361,1178
741,12.378,979
742,12.395,1339
743,12.411,1050
744,12.428,1363
745,12.444,1173
746,12.461,1468
747,12.478,1462
748,12.494,1129
749,12.511,1077
750,12.528,1315
751,12.544,981
752,12.561,863
753,12.578,1088
754,12.594,910
755,12.611,812
756,12.627,1108
757,12.644,1319
758,12.661,862
759,12.677,906
760,12.694,1427
761,12.711,832
762,12.727,1180
763,12.744,968
764,12.76,946
765,12.777,1004
766,12.794,1030
767,12.81,1120
768,12.827,909
769,12.844,1276
770,12.86,1032
771,12.877,1445
772,12.894,1337
773,12.91,764
774,12.927,1229
775,12.943,1733
776,12.96,1067
777,12.977,1391
778,12.993,1194
779,13.01,1222
780,13.027,1206
781,13.043,1162
782,13.06,1143
783,13.077,1093
784,13.093,929
785,13.11,1187
786,13.126,1200
787,13.143,1050
788,13.16,1360
789,13.176,853
790,13.193,1844
791,13.21,952
792,13.226,1164
793,13.243,1162
794,13.259,1186
795,13.276,1224
796,13.293,1148
797,13.309,1290
798,13.326,1123
799,13.343,1356
800,13.359,1154
801,13.376,1345
802,13.393,875
803,13.409,984
804,13.426,817
805,13.442,1219
806,13.459,973
807,13.476,1045
808,13.492,1268
809,13.509,1284
810,13.526,1227
811,13.542,1098
812,13.559,863
813,13.576,1234
814,13.592,1610
815,13.609,1025
816,13.625,972
817,13.642,1067
818,13.659,1535
819,13.675,1125
820,13.692,1240
821,13.709,994
822,13.725,1391
823,13.742,1791
824,13.758,1495
825,13.775,983
826,13.792,935
827,13.808,1236
828,13.825,1380
829,13.842,1152
830,13.858,1004
831,13.875,1227
832,13.892,1326
833,13.908,1028
834,13.925,1533
835,13.941,1011
836,13.958,802
837,13.975,1361
838,13.991,1093
839,14.008,1671
840,14.025,1104
841,14.041,1309
842,14.058,1150
843,14.075,938
844,14.091,1105
845,14.108,910
846,14.124,1305
847,14.141,1038
848,14.158,1296
849,14.174,941
850,14.191,1278
851,14.208,1040
852,14.224,849
853,14.241,942
854,14.257,1313
855,14.274,1066
856,14.291,1103
857,14.307,873
858,14.324,1051
859,14.341,1391
860,14.357,695
861,14.374,1060
862,14.391,1133
863,14.407,961
864,14.424,1521
865,14.44,1132
866,14.457,869
867,14.474,1303
868,14.49,985
869,14.507,975
870,14.524,1538
871,14.54,1262
872,14.557,1684
873,14.574,806
874,14.59,1351
875,14.607,1349
876,14.623,1424
877,14.64,1319
878,14.657,825
879,14.673,965
880,14.69,1623
881,14.707,1497
882,14.723,1150
883,14.74,1266
884,14.756,1327
885,14.773,1193
886,14.79,1180
887,14.806,1281
888,14.823,1245
889,14.84,903
890,14.856,1090
891,14.873,1394
892,14.89,1567
893,14.906,1543
894,14.923,1461
895,14.939,1125
896,14.956,1536
897,14.973,1188
898,14.989,1006
899,15.006,1103
900,15.023,2189
901,15.039,1345
902,15.056,1445
903,15.073,1982
904,15.089,1645
905,15.106,1934
906,15.122,1314
907,15.139,1346
908,15.156,927
909,15.172,1451
910,15.189,1283
911,15.206,948
912,15.222,826
913,15.239,1090
914,15.255,1680
915,15.272,1419
916,15.289,1067
917,15.305,1390
918,15.322,1280
919,15.339,1070
920,15.355,1175
921,15.372,974
922,15.389,966
