"#""+ BPC Scan stir_75um_sp-r008.d """,,
#Point,X(Minutes),Y(Counts)
465,7.801,1236
466,7.818,1218
467,7.834,1714
468,7.851,1684
469,7.868,1461
470,7.884,1689
471,7.901,1693
472,7.917,1502
473,7.934,1342
474,7.951,1393
475,7.967,1531
476,7.984,2392
477,8.001,1248
478,8.017,1514
479,8.034,1606
480,8.051,1648
481,8.067,1328
482,8.084,1691
483,8.1,2254
484,8.117,1739
485,8.134,1308
486,8.15,1461
487,8.167,1644
488,8.184,1378
489,8.2,1304
490,8.217,1779
491,8.234,1593
492,8.25,1752
493,8.267,1205
494,8.283,2300
495,8.3,2062
496,8.317,1471
497,8.333,1536
498,8.35,2748
499,8.367,1079
500,8.383,1072
501,8.4,2022
502,8.416,1640
503,8.433,1793
504,8.45,1464
505,8.466,1332
506,8.483,1412
507,8.5,2097
508,8.516,1129
509,8.533,1257
510,8.55,1811
511,8.566,1291
512,8.583,2001
513,8.599,1616
514,8.616,1697
515,8.633,1434
516,8.649,1420
517,8.666,1487
518,8.683,1513
519,8.699,1387
520,8.716,1972
521,8.733,1446
522,8.749,1310
523,8.766,1841
524,8.782,1566
525,8.799,1071
526,8.816,1187
527,8.832,1390
528,8.849,1832
529,8.866,1231
530,8.882,1158
531,8.899,1492
532,8.915,1734
533,8.932,1501
534,8.949,1466
535,8.965,1661
536,8.982,1573
537,8.999,938
538,9.015,1417
539,9.032,1255
540,9.049,1289
541,9.065,1299
542,9.082,1169
543,9.098,1945
544,9.115,1621
545,9.132,1481
546,9.148,1519
547,9.165,1322
548,9.182,1631
549,9.198,1213
550,9.215,1145
551,9.232,1166
552,9.248,1455
553,9.265,1251
554,9.281,1542
555,9.298,1053
556,9.315,1581
557,9.331,1206
558,9.348,1755
559,9.365,1130
560,9.381,1380
561,9.398,1459
562,9.414,1533
563,9.431,1372
564,9.448,1317
565,9.464,1228
566,9.481,1006
567,9.498,1585
568,9.514,1453
569,9.531,1322
570,9.548,1862
571,9.564,1462
572,9.581,1325
573,9.597,1820
574,9.614,1390
575,9.631,1279
576,9.647,1601
577,9.664,1335
578,9.681,2067
579,9.697,1423
580,9.714,1512
581,9.731,1605
582,9.747,1470
583,9.764,1432
584,9.78,1502
585,9.797,1551
586,9.814,1660
587,9.83,1578
588,9.847,1221
589,9.864,1614
590,9.88,1323
591,9.897,1191
592,9.914,1469
593,9.93,1183
594,9.947,1514
595,9.963,1429
596,9.98,1013
597,9.997,1972
598,10.013,1411
599,10.03,1521
600,10.047,1293
601,10.063,1688
602,10.08,1961
603,10.096,1332
604,10.113,1416
605,10.13,1309
606,10.146,1206
607,10.163,1193
608,10.18,1286
609,10.196,1939
610,10.213,1592
611,10.23,2194
612,10.246,1340
613,10.263,1540
614,10.279,1448
615,10.296,1866
616,10.313,1681
617,10.329,1839
618,10.346,1866
619,10.363,1750
620,10.379,1510
621,10.396,1775
622,10.413,1808
623,10.429,1581
624,10.446,1271
625,10.462,1774
626,10.479,1670
627,10.496,1172
628,10.512,1637
629,10.529,1446
630,10.546,1163
631,10.562,1083
632,10.579,1403
633,10.595,1189
634,10.612,1598
635,10.629,1249
636,10.645,1320
637,10.662,1943
638,10.679,1617
639,10.695,1216
640,10.712,1229
641,10.729,958
642,10.745,1954
643,10.762,1220
644,10.778,1403
645,10.795,1519
646,10.812,1449
647,10.828,1201
648,10.845,1403
649,10.862,1164
650,10.878,1276
651,10.895,1574
652,10.912,1458
653,10.928,1568
654,10.945,1517
655,10.961,1266
656,10.978,2215
657,10.995,1469
658,11.011,1214
659,11.028,1327
660,11.045,1725
661,11.061,1592
662,11.078,1450
663,11.094,1455
664,11.111,1175
665,11.128,1340
666,11.144,1228
667,11.161,1332
668,11.178,1462
669,11.194,1325
670,11.211,1176
671,11.228,1668
672,11.244,1210
673,11.261,1473
674,11.277,1923
675,11.294,1575
676,11.311,1442
677,11.327,1402
678,11.344,1962
679,11.361,1090
680,11.377,1226
681,11.394,1608
682,11.411,1676
683,11.427,1253
684,11.444,1238
685,11.46,1321
686,11.477,1707
687,11.494,1136
688,11.51,1341
689,11.527,1335
690,11.544,1382
691,11.56,2106
692,11.577,1290
693,11.593,1172
694,11.61,1915
695,11.627,1305
696,11.643,1393
697,11.66,1296
698,11.677,1602
699,11.693,1255
700,11.71,1572
701,11.727,1581
702,11.743,1453
703,11.76,1348
704,11.776,1684
705,11.793,1480
706,11.81,1560
707,11.826,1183
708,11.843,1514
709,11.86,776
710,11.876,1114
711,11.893,1143
712,11.91,1184
713,11.926,794
714,11.943,773
715,11.959,1058
716,11.976,917
717,11.993,985
718,12.009,1087
719,12.026,678
720,12.043,1527
721,12.059,1247
722,12.076,1500
723,12.092,1198
724,12.109,1228
725,12.126,1764
726,12.142,1014
727,12.159,893
728,12.176,1188
729,12.192,1249
730,12.209,1378
731,12.226,1505
732,12.242,1561
733,12.259,1790
734,12.275,1272
735,12.292,1268
736,12.309,1065
737,12.325,1896
738,12.342,1779
739,12.359,1835
740,12.375,1326
741,12.392,1693
742,12.409,1804
743,12.425,1088
744,12.442,1108
745,12.458,1416
746,12.475,1359
747,12.492,1093
748,12.508,1080
749,12.525,1573
750,12.542,1159
751,12.558,1290
752,12.575,1341
753,12.591,1260
754,12.608,1175
755,12.625,1258
756,12.641,1308
757,12.658,1428
758,12.675,1208
759,12.691,1324
760,12.708,956
761,12.725,952
762,12.741,1430
763,12.758,1531
764,12.774,1267
765,12.791,949
766,12.808,1936
767,12.824,1337
768,12.841,1698
769,12.858,1156
770,12.874,1305
771,12.891,1248
772,12.908,930
773,12.924,1183
774,12.941,1049
775,12.957,1462
776,12.974,1164
777,12.991,1173
778,13.007,1147
779,13.024,1870
780,13.041,1571
781,13.057,1461
782,13.074,1125
783,13.09,1220
784,13.107,1553
785,13.124,1597
786,13.14,1197
787,13.157,1289
788,13.174,1622
789,13.19,1399
790,13.207,1505
791,13.224,1894
792,13.24,1412
793,13.257,1616
794,13.273,1872
795,13.29,1727
796,13.307,1581
797,13.323,1204
798,13.34,1347
799,13.357,993
800,13.373,1954
801,13.39,1072
802,13.407,1614
803,13.423,1121
804,13.44,1763
805,13.456,1241
806,13.473,1031
807,13.49,1354
808,13.506,1049
809,13.523,1193
810,13.54,1024
811,13.556,1573
812,13.573,1299
813,13.589,1089
814,13.606,1999
815,13.623,1523
816,13.639,1212
817,13.656,1369
818,13.673,1217
819,13.689,1269
820,13.706,1463
821,13.723,1088
822,13.739,1073
823,13.756,1458
824,13.772,1246
825,13.789,1426
826,13.806,1758
827,13.822,945
828,13.839,1819
829,13.856,1338
830,13.872,1236
831,13.889,1323
832,13.906,1431
833,13.922,1345
834,13.939,1181
835,13.955,1145
836,13.972,1205
837,13.989,1250
838,14.005,2044
839,14.022,1652
840,14.039,1128
841,14.055,1517
842,14.072,1568
843,14.088,1380
844,14.105,1263
845,14.122,1062
846,14.138,1221
847,14.155,1184
848,14.172,1945
849,14.188,989
850,14.205,1782
851,14.222,1624
852,14.238,1703
853,14.255,1282
854,14.271,1062
855,14.288,1186
856,14.305,1446
857,14.321,2270
858,14.338,1294
859,14.355,1129
860,14.371,1701
861,14.388,1096
862,14.405,1133
863,14.421,1467
864,14.438,1306
865,14.454,1073
866,14.471,1034
867,14.488,1016
868,14.504,1641
869,14.521,1342
870,14.538,1534
871,14.554,1061
872,14.571,1081
873,14.587,1202
874,14.604,1747
875,14.621,1104
876,14.637,1725
877,14.654,1495
878,14.671,1356
879,14.687,1746
880,14.704,1707
881,14.721,1383
882,14.737,1486
883,14.754,1168
884,14.77,1357
885,14.787,1520
886,14.804,1369
887,14.82,1368
888,14.837,1534
889,14.854,1175
890,14.87,1303
891,14.887,935
892,14.904,790
893,14.92,2333
894,14.937,1158
895,14.953,1356
896,14.97,1275
897,14.987,1505
898,15.003,1035
899,15.02,1473
900,15.037,1511
901,15.053,1557
902,15.07,1812
903,15.086,1564
904,15.103,1276
905,15.12,1085
906,15.136,1676
907,15.153,1069
908,15.17,1320
909,15.186,1350
910,15.203,1833
911,15.22,1233
912,15.236,2183
913,15.253,1539
914,15.269,1279
915,15.286,1171
916,15.303,1686
917,15.319,1699
918,15.336,1229
919,15.353,1257
920,15.369,1130
921,15.386,1039
922,15.402,1592
923,15.419,1907
924,15.436,1524
925,15.452,1223
926,15.469,1765
927,15.486,1578
928,15.502,1768
929,15.519,1833
930,15.536,1389
931,15.552,1618
932,15.569,1629
933,15.585,1905
934,15.602,1937
935,15.619,1560
936,15.635,1403
937,15.652,2375
938,15.669,1598
939,15.685,1178
940,15.702,1493
941,15.719,1544
942,15.735,1187
943,15.752,1002
944,15.768,2126
945,15.785,1285
946,15.802,1456
947,15.818,1514
948,15.835,1490
949,15.852,1250
950,15.868,2013
951,15.885,1254
952,15.901,1122
953,15.918,1940
954,15.935,1612
955,15.951,1458
956,15.968,1539
957,15.985,1411
958,16.001,1590
959,16.018,1784
960,16.035,1589
961,16.051,1341
962,16.068,1705
963,16.084,1520
964,16.101,1974
965,16.118,2419
966,16.134,3136
967,16.151,2888
968,16.168,3626
969,16.184,4024
970,16.201,4290
971,16.218,4788
972,16.234,4397
973,16.251,4348
974,16.267,4908
975,16.284,4981
976,16.301,5095
977,16.317,5787
978,16.334,5963
979,16.351,6481
980,16.367,7021
981,16.384,6397
982,16.4,6729
983,16.417,7410
984,16.434,7277
985,16.45,8073
986,16.467,6969
987,16.484,7946
988,16.5,7596
989,16.517,7226
990,16.534,6980
991,16.55,7351
992,16.567,6505
993,16.583,6271
994,16.6,6478
995,16.617,6788
996,16.633,7295
997,16.65,7342
998,16.667,6334
999,16.683,5848
1000,16.7,5598
1001,16.717,5853
1002,16.733,5329
1003,16.75,5170
1004,16.766,6132
1005,16.783,5161
1006,16.8,5374
1007,16.816,5325
1008,16.833,6771
1009,16.85,10592
1010,16.866,18481
1011,16.883,31657
1012,16.899,47200
1013,16.916,67077
1014,16.933,81204
1015,16.949,100352
1016,16.966,124165
1017,16.983,146693
1018,16.999,160376
1019,17.016,183516
1020,17.033,202243
1021,17.049,220643
1022,17.066,222980
1023,17.082,241796
1024,17.099,243199
1025,17.116,245258
1026,17.132,257701
1027,17.149,275681
1028,17.166,280893
1029,17.182,291020
1030,17.199,288209
1031,17.216,300107
1032,17.232,301216
1033,17.249,303907
1034,17.265,305319
1035,17.282,292026
1036,17.299,300354
1037,17.315,292419
1038,17.332,279228
1039,17.349,255334
1040,17.365,229626
1041,17.382,204792
1042,17.398,168344
1043,17.415,150566
1044,17.432,125094
1045,17.448,98217
1046,17.465,80854
1047,17.482,64724
1048,17.498,49806
1049,17.515,41195
1050,17.532,34046
1051,17.548,29060
1052,17.565,24707
1053,17.581,22876
1054,17.598,18773
1055,17.615,17320
1056,17.631,14361
1057,17.648,15170
1058,17.665,12094
1059,17.681,11121
1060,17.698,9758
1061,17.715,11718
1062,17.731,9896
1063,17.748,10076
1064,17.764,8870
1065,17.781,7614
1066,17.798,8288
1067,17.814,8897
1068,17.831,7710
1069,17.848,7013
1070,17.864,5915
1071,17.881,5626
1072,17.897,6410
1073,17.914,6393
1074,17.931,6476
1075,17.947,6396
1076,17.964,5734
1077,17.981,7279
1078,17.997,7241
1079,18.014,6253
1080,18.031,6919
1081,18.047,6154
1082,18.064,6931
1083,18.08,7295
1084,18.097,7513
1085,18.114,8198
1086,18.13,7221
1087,18.147,8205
1088,18.164,8637
1089,18.18,9417
1090,18.197,7500
1091,18.214,7902
1092,18.23,8302
1093,18.247,7428
1094,18.263,8959
1095,18.28,8532
1096,18.297,7248
1097,18.313,8671
1098,18.33,10249
1099,18.347,13312
1100,18.363,17629
1101,18.38,24276
1102,18.396,30510
1103,18.413,39233
1104,18.43,44980
1105,18.446,50728
1106,18.463,58611
1107,18.48,64047
1108,18.496,75399
1109,18.513,79518
1110,18.53,81617
1111,18.546,91010
1112,18.563,94689
1113,18.579,93489
1114,18.596,89948
1115,18.613,94306
1116,18.629,92954
1117,18.646,98559
1118,18.663,92521
1119,18.679,100498
1120,18.696,96088
1121,18.713,90057
1122,18.729,87819
1123,18.746,88139
1124,18.762,93302
1125,18.779,89534
1126,18.796,87987
1127,18.812,89439
1128,18.829,89448
1129,18.846,86885
1130,18.862,89594
1131,18.879,84895
1132,18.895,84952
1133,18.912,80077
1134,18.929,72066
1135,18.945,70818
1136,18.962,66403
1137,18.979,54201
1138,18.995,55955
1139,19.012,48861
1140,19.029,46779
1141,19.045,39494
1142,19.062,33795
1143,19.078,29780
1144,19.095,27725
1145,19.112,19796
1146,19.128,16424
1147,19.145,14094
1148,19.162,12363
1149,19.178,9847
1150,19.195,9788
1151,19.212,7453
1152,19.228,7578
1153,19.245,6276
1154,19.261,4931
1155,19.278,5757
1156,19.295,5463
1157,19.311,4720
1158,19.328,3878
1159,19.345,3810
1160,19.361,3974
1161,19.378,2905
1162,19.394,2711
1163,19.411,3149
1164,19.428,2861
1165,19.444,3067
1166,19.461,1999
1167,19.478,2024
1168,19.494,2324
1169,19.511,2505
1170,19.528,2799
1171,19.544,2174
1172,19.561,2147
1173,19.577,1443
1174,19.594,1675
1175,19.611,1613
1176,19.627,1824
1177,19.644,1384
1178,19.661,2139
1179,19.677,1821
1180,19.694,1793
1181,19.711,1971
1182,19.727,2046
1183,19.744,1481
1184,19.76,1871
1185,19.777,1623
1186,19.794,1435
1187,19.81,1432
1188,19.827,1581
1189,19.844,1544
1190,19.86,1673
1191,19.877,1691
1192,19.893,1329
1193,19.91,1623
1194,19.927,1935
1195,19.943,1516
1196,19.96,1594
1197,19.977,2023
1198,19.993,1324
1199,20.01,1537
1200,20.027,1549
1201,20.043,1525
1202,20.06,1327
1203,20.076,1713
1204,20.093,1544
1205,20.11,1495
1206,20.126,1576
1207,20.143,1586
1208,20.16,1969
1209,20.176,2066
1210,20.193,2317
1211,20.21,2585
1212,20.226,4245
1213,20.243,5778
1214,20.259,6489
1215,20.276,9042
1216,20.293,12375
1217,20.309,14915
1218,20.326,18489
1219,20.343,24789
1220,20.359,26973
1221,20.376,32321
1222,20.392,34547
1223,20.409,35335
1224,20.426,38587
1225,20.442,40034
1226,20.459,43151
1227,20.476,47595
1228,20.492,46828
1229,20.509,44878
1230,20.526,43563
1231,20.542,45963
1232,20.559,47317
1233,20.575,47651
1234,20.592,44879
1235,20.609,44643
1236,20.625,46367
1237,20.642,45247
1238,20.659,44771
1239,20.675,46394
1240,20.692,46381
1241,20.709,44066
1242,20.725,42922
1243,20.742,41305
1244,20.758,42426
1245,20.775,40896
1246,20.792,42649
1247,20.808,40433
1248,20.825,37209
1249,20.842,38369
1250,20.858,35696
1251,20.875,34386
1252,20.891,33402
1253,20.908,32883
1254,20.925,28369
1255,20.941,28207
1256,20.958,23157
1257,20.975,24777
1258,20.991,23904
1259,21.008,25376
1260,21.025,23765
1261,21.041,20171
1262,21.058,21019
1263,21.074,18007
1264,21.091,17600
1265,21.108,15201
1266,21.124,16555
1267,21.141,14651
1268,21.158,14644
1269,21.174,13446
1270,21.191,11214
1271,21.208,9526
1272,21.224,10161
1273,21.241,9539
1274,21.257,8995
1275,21.274,7693
1276,21.291,8670
1277,21.307,7283
1278,21.324,7201
1279,21.341,6251
1280,21.357,6929
1281,21.374,6480
1282,21.39,6246
1283,21.407,5199
1284,21.424,4994
1285,21.44,5386
1286,21.457,5277
1287,21.474,5164
1288,21.49,5271
1289,21.507,4781
1290,21.524,3846
1291,21.54,4042
1292,21.557,4439
1293,21.573,5119
1294,21.59,3898
1295,21.607,4164
1296,21.623,3607
1297,21.64,4735
1298,21.657,3668
1299,21.673,4023
1300,21.69,3762
1301,21.707,3948
1302,21.723,3617
1303,21.74,3375
1304,21.756,3317
1305,21.773,3837
1306,21.79,4167
1307,21.806,3659
1308,21.823,3356
1309,21.84,4350
1310,21.856,3497
1311,21.873,3828
1312,21.889,3547
1313,21.906,4289
1314,21.923,4296
1315,21.939,3510
1316,21.956,3669
1317,21.973,3145
1318,21.989,3687
1319,22.006,3027
1320,22.023,3324
1321,22.039,2444
1322,22.056,2832
1323,22.072,1937
1324,22.089,2184
1325,22.106,2170
1326,22.122,2562
1327,22.139,2381
1328,22.156,2569
1329,22.172,2619
1330,22.189,3228
1331,22.206,2527
1332,22.222,2745
1333,22.239,3128
1334,22.255,2318
1335,22.272,2320
1336,22.289,1943
1337,22.305,1756
1338,22.322,2268
1339,22.339,1800
1340,22.355,2497
1341,22.372,1664
1342,22.388,1613
1343,22.405,1789
1344,22.422,1635
1345,22.438,1358
1346,22.455,1736
1347,22.472,1641
1348,22.488,1553
1349,22.505,1731
1350,22.522,1385
1351,22.538,1890
1352,22.555,1430
1353,22.571,1650
1354,22.588,1705
1355,22.605,2346
1356,22.621,1271
1357,22.638,1395
1358,22.655,1490
1359,22.671,1335
1360,22.688,1880
1361,22.704,1425
1362,22.721,1199
1363,22.738,1634
1364,22.754,1273
1365,22.771,1506
1366,22.788,1716
1367,22.804,1776
1368,22.821,1551
1369,22.838,1589
1370,22.854,1640
1371,22.871,1399
1372,22.887,1558
1373,22.904,1685
1374,22.921,1351
1375,22.937,1276
1376,22.954,1378
1377,22.971,1229
1378,22.987,1368
1379,23.004,1659
1380,23.021,1615
1381,23.037,1731
1382,23.054,1301
1383,23.07,1454
1384,23.087,1290
1385,23.104,1453
1386,23.12,1677
1387,23.137,1189
1388,23.154,1285
1389,23.17,1392
1390,23.187,1747
1391,23.203,1206
1392,23.22,1273
1393,23.237,1299
1394,23.253,1428
1395,23.27,1487
1396,23.287,1468
1397,23.303,1221
1398,23.32,1381
1399,23.337,1064
1400,23.353,1564
1401,23.37,1223
1402,23.386,1882
1403,23.403,1171
1404,23.42,1134
1405,23.436,1254
1406,23.453,1291
1407,23.47,1677
1408,23.486,1407
1409,23.503,1065
1410,23.52,1307
1411,23.536,1060
1412,23.553,1343
1413,23.569,1144
1414,23.586,1290
1415,23.603,1112
1416,23.619,1141
1417,23.636,1240
1418,23.653,952
1419,23.669,1070
1420,23.686,1145
1421,23.702,1193
1422,23.719,1015
1423,23.736,1167
1424,23.752,1051
1425,23.769,1136
1426,23.786,1428
1427,23.802,966
1428,23.819,1103
1429,23.836,1054
1430,23.852,1382
1431,23.869,977
1432,23.885,1345
1433,23.902,1352
1434,23.919,1566
1435,23.935,1149
1436,23.952,1114
1437,23.969,1111
1438,23.985,1234
1439,24.002,1029
1440,24.019,1078
1441,24.035,1117
1442,24.052,1160
1443,24.068,1179
1444,24.085,1223
1445,24.102,1077
1446,24.118,838
1447,24.135,1146
1448,24.152,1220
1449,24.168,1017
1450,24.185,1142
1451,24.201,1011
1452,24.218,1174
1453,24.235,1011
1454,24.251,1209
1455,24.268,1187
1456,24.285,1211
1457,24.301,1032
1458,24.318,1278
1459,24.335,1081
1460,24.351,1498
1461,24.368,892
1462,24.384,981
1463,24.401,1186
1464,24.418,1183
1465,24.434,984
1466,24.451,1125
1467,24.468,1226
1468,24.484,1139
1469,24.501,1182
1470,24.518,1065
1471,24.534,1469
1472,24.551,1038
1473,24.567,1587
1474,24.584,1028
1475,24.601,874
1476,24.617,1427
1477,24.634,1351
1478,24.651,998
1479,24.667,1186
1480,24.684,1181
1481,24.7,1440
1482,24.717,1165
1483,24.734,1113
1484,24.75,1323
1485,24.767,1203
1486,24.784,1328
1487,24.8,1067
1488,24.817,1238
1489,24.834,1279
1490,24.85,1239
1491,24.867,1144
1492,24.884,1047
1493,24.9,1191
