CHROMATOGRAM,
Hela10k10.raw,
Data points: 3444,
Time,Intensity
16.81144159,9874.208984
16.83268141,9949.506836
16.85355452,16349.09473
16.87480929,7710.526855
16.89563657,17806.34961
16.91659676,12354.43262
16.93851279,9743.369141
16.96002129,9309.663086
16.98118034,9877.168945
17.00260347,8387.583984
17.02340059,11373.74902
17.04443329,9005.431641
17.06490671,11625.95898
17.08597958,20194.0625
17.10701716,9655.944336
17.12791656,8589.375977
17.14852446,8063.608887
17.16955432,8379.057617
17.19071914,9599.354492
17.21188026,9448.045898
17.23289384,9782.493164
17.25363104,9178.829102
17.27421324,9854.733398
17.29498131,9392.896484
17.31535649,10652.34473
17.33639124,9150.40332
17.35697852,9186.499023
17.37717424,10523.16797
17.39782336,14947.84961
17.41842431,13353.03711
17.43888472,9826.37207
17.45937869,12597.70508
17.47969588,8990.123047
17.49997392,10484.76758
17.52055213,10758.22363
17.54106366,9397.767578
17.56193746,9730.263672
17.58246426,10038.54492
17.60325566,11114.09082
17.62335989,12718.0293
17.64399966,9464.099609
17.66457123,10762.21387
17.68512532,9486.125977
17.70562784,8580.110352
17.72619774,10791.76465
17.74628317,14163.89648
17.76669584,8673.508789
17.78744437,8686.987305
17.80775363,9644.643555
17.82831477,8910.328125
17.84905663,8051.105469
17.86948941,9936.672852
17.89033859,9773.833008
17.91070344,10805.11426
17.93107497,8422.435547
17.95123834,50340.05469
17.97137064,13586.73633
17.99214853,8921.34668
18.01236777,13515.97754
18.03271642,10035.87988
18.05313186,10936.94336
18.07356538,11441.02637
18.09381134,13103.4502
18.11402189,12051.96191
18.13420244,11125.20508
18.15478514,7529.552734
18.17497332,8788.178711
18.19546071,7096.59082
18.21568528,9741.3125
18.23600957,9813.957031
18.25618061,9066.069336
18.27676186,7713.443359
18.29664969,19353.84375
18.31689704,23193.12305
18.33723919,33416.60156
18.35723119,54623.65234
18.37728946,76869.63281
18.39738551,98618.27344
18.41744224,124479.6797
18.44872971,187854.8906
18.46866992,253351.4844
18.48850398,289422.3438
18.50817697,356867.875
18.53757949,505738.0625
18.55711402,499104.8125
18.57651801,548732.5
18.59609579,497866.8125
18.61555844,381399.3125
18.63513571,224505.2969
18.65476828,155021.1719
18.67480211,103471.7578
18.69476331,63162.07422
18.71474261,42661.12891
18.73476629,40465.91797
18.75471743,49153.96875
18.77419554,92728.75781
18.79391116,161427.6719
18.81326091,267611.1875
18.83266892,344498.9063
18.88298812,448459.2813
18.92473331,432380.7188
18.95061294,473761.875
18.97658406,463862.75
18.99574094,431807.625
19.01513487,432182.0313
19.03455346,370019.3125
19.05387116,314827.0313
19.07373419,244235.0469
19.09331867,181677
19.11349474,108439.0078
19.13324662,73618
19.15310547,114679.8047
19.18355577,165855.9688
19.20962927,188594.2656
19.24239374,230269.8125
19.26181894,264378.5938
19.28134204,229591.1563
19.30069437,243061.2656
19.32038887,195300.8438
19.33991074,167242.7813
19.35990146,138441.8906
19.39079752,94888.78125
19.41056507,95165.17188
19.43006589,131741.5625
19.44972264,209321.9844
19.48005581,302513.125
19.51249314,357628.375
19.53835922,357153.9375
19.55754857,410639.2813
19.57691127,264218.875
19.59616806,223368.2188
19.61557354,149228.6563
19.63526676,108378.5938
19.65492721,89047.29688
19.67452776,75164.35156
19.69387411,129434.4063
19.71299826,287765.3125
19.74053499,806998.375
19.76574735,2002389.5
19.79052087,3983626.25
19.830714,10361072
19.8907449,11473257
19.9507361,6879310.5
20.01279587,3078413.25
20.07149293,1437269.875
20.13179965,1967264.625
20.1856704,1561302.25
20.2459082,535452.0625
20.29947399,375625.4063
20.3399611,450715.3125
20.37153635,382014.9063
20.40308705,356573.25
20.4348211,395792
20.47532504,454385.6875
20.52906102,1454874.125
20.59136275,4645345.5
20.6513523,8428643
20.71184062,76452552
20.7716933,277923904
20.82969484,270141824
20.88982592,131131312
20.94960415,28521058
21.00953788,9639908
21.0675915,6696954
21.12659042,14567592
21.18752083,7395152.5
